count,as_of_year,county_name,state_name
"5516","2015","",""
"4765","2016","",""
"5169","2017","",""
"45","2015","","Alabama"
"22","2016","","Alabama"
"14","2017","","Alabama"
"658","2015","Autauga County","Alabama"
"764","2016","Autauga County","Alabama"
"818","2017","Autauga County","Alabama"
"2947","2015","Baldwin County","Alabama"
"3295","2016","Baldwin County","Alabama"
"4035","2017","Baldwin County","Alabama"
"102","2015","Barbour County","Alabama"
"109","2016","Barbour County","Alabama"
"116","2017","Barbour County","Alabama"
"102","2015","Bibb County","Alabama"
"113","2016","Bibb County","Alabama"
"139","2017","Bibb County","Alabama"
"492","2015","Blount County","Alabama"
"572","2016","Blount County","Alabama"
"622","2017","Blount County","Alabama"
"17","2015","Bullock County","Alabama"
"34","2016","Bullock County","Alabama"
"24","2017","Bullock County","Alabama"
"84","2015","Butler County","Alabama"
"95","2016","Butler County","Alabama"
"90","2017","Butler County","Alabama"
"770","2015","Calhoun County","Alabama"
"852","2016","Calhoun County","Alabama"
"1014","2017","Calhoun County","Alabama"
"181","2015","Chambers County","Alabama"
"185","2016","Chambers County","Alabama"
"157","2017","Chambers County","Alabama"
"118","2015","Cherokee County","Alabama"
"128","2016","Cherokee County","Alabama"
"177","2017","Cherokee County","Alabama"
"297","2015","Chilton County","Alabama"
"343","2016","Chilton County","Alabama"
"410","2017","Chilton County","Alabama"
"31","2015","Choctaw County","Alabama"
"57","2016","Choctaw County","Alabama"
"51","2017","Choctaw County","Alabama"
"131","2015","Clarke County","Alabama"
"155","2016","Clarke County","Alabama"
"131","2017","Clarke County","Alabama"
"37","2015","Clay County","Alabama"
"40","2016","Clay County","Alabama"
"58","2017","Clay County","Alabama"
"66","2015","Cleburne County","Alabama"
"76","2016","Cleburne County","Alabama"
"89","2017","Cleburne County","Alabama"
"476","2015","Coffee County","Alabama"
"609","2016","Coffee County","Alabama"
"683","2017","Coffee County","Alabama"
"580","2015","Colbert County","Alabama"
"593","2016","Colbert County","Alabama"
"617","2017","Colbert County","Alabama"
"32","2015","Conecuh County","Alabama"
"40","2016","Conecuh County","Alabama"
"46","2017","Conecuh County","Alabama"
"47","2015","Coosa County","Alabama"
"51","2016","Coosa County","Alabama"
"60","2017","Coosa County","Alabama"
"226","2015","Covington County","Alabama"
"247","2016","Covington County","Alabama"
"265","2017","Covington County","Alabama"
"68","2015","Crenshaw County","Alabama"
"93","2016","Crenshaw County","Alabama"
